I, [2015-03-13T14:35:49.562223 #44854]  INFO -- Kitchen: -----> Starting Kitchen (v1.3.1)
E, [2015-03-13T14:35:50.023612 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/lib/ruby/gems/2.0.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-03-13T14:35:50.023636 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/lib/ruby/gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/cli.rb:304:in `invoke_task'
E, [2015-03-13T14:35:50.023661 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/lib/ruby/gems/2.0.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-03-13T14:35:50.023685 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/lib/ruby/gems/2.0.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-03-13T14:35:50.023707 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/lib/ruby/gems/2.0.0/gems/test-kitchen-1.3.1/bin/kitchen:13:in `block in <top (required)>'
E, [2015-03-13T14:35:50.023732 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/lib/ruby/gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-03-13T14:35:50.023761 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/lib/ruby/gems/2.0.0/gems/test-kitchen-1.3.1/bin/kitchen:13:in `<top (required)>'
E, [2015-03-13T14:35:50.023783 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/bin/kitchen:23:in `load'
E, [2015-03-13T14:35:50.023806 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/rubies/ruby-2.0.0-p451/bin/kitchen:23:in `<main>'
E, [2015-03-13T14:35:50.023828 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/gems/ruby-2.0.0-p451/bin/ruby_executable_hooks:15:in `eval'
E, [2015-03-13T14:35:50.023852 #44854] ERROR -- Kitchen: /Users/ss023172/.rvm/gems/ruby-2.0.0-p451/bin/ruby_executable_hooks:15:in `<main>'
E, [2015-03-13T14:35:50.023880 #44854] ERROR -- Kitchen: ----------------------
